department | exam_type | level | eligibility
UPSC|Civil Services Examination (CSE)|National|Graduate
UPSC|Indian Forest Service (IFoS)|National|Graduate
UPSC|Engineering Services Examination (ESE/IES)|National|Engineering Degree
UPSC|Combined Defence Services (CDS)|National|Graduate/12th
UPSC|National Defence Academy (NDA) & NA|National|12th
UPSC|Combined Medical Services (CMS)|National|Graduate (Medical)
UPSC|Indian Economic Service / Indian Statistical Service (IES/ISS)|National|Postgraduate
UPSC|Combined Geo-Scientist Examination|National|Graduate
UPSC|EPFO Enforcement Officer/Accounts Officer|National|Graduate
UPSC|Central Armed Police Forces (Assistant Commandant - CAPF AC)|National|Graduate
Staff Selection Commission (SSC)|SSC Combined Graduate Level (CGL)|National|Graduate
SSC|SSC Combined Higher Secondary Level (CHSL)|National|12th
SSC|SSC Multi Tasking Staff (MTS)|National|10th
SSC|SSC GD Constable|National|10th
SSC|SSC Junior Engineer (JE)|National|Diploma/Engineering
SSC|SSC CPO (SI)|National|Graduate
SSC|SSC Stenographer Grade C & D|National|12th/10th
SSC|SSC Selection Post (Phase-wise)|National|10th/12th/Graduate
SSC|SSC CHSL DEO (Data Entry Operator)|National|12th
IBPS|IBPS PO|National|Graduate
IBPS|IBPS Clerk|National|Graduate
IBPS|IBPS RRB Officer Scale I (PO)|National|Graduate
IBPS|IBPS RRB Office Assistant (Clerk)|National|12th/Graduate
IBPS|IBPS Specialist Officer (SO)|National|Graduate
State Bank of India (SBI)|SBI PO|National|Graduate
SBI|SBI Clerk|National|Graduate
Reserve Bank of India (RBI)|RBI Grade B|National|Graduate
RBI|RBI Assistant|National|Graduate
NABARD|NABARD Grade A|National|Graduate
NABARD|NABARD Grade B|National|Postgraduate
SIDBI|SIDBI Grade A|National|Graduate
EXIM Bank|EXIM Bank Recruitment|National|Graduate
IPPB / RRBs|IPPB / Regional Rural Bank (RBI-linked) Recruitment - Variant 4|National/Regional|Graduate
IPPB / RRBs|IPPB / Regional Rural Bank (RBI-linked) Recruitment - Variant 1|National/Regional|Graduate
IPPB / RRBs|IPPB / Regional Rural Bank (RBI-linked) Recruitment - Variant 5|National/Regional|Graduate
IPPB / RRBs|IPPB / Regional Rural Bank (RBI-linked) Recruitment - Variant 2|National/Regional|Graduate
LIC|LIC AAO|National|Graduate
LIC|LIC ADO|National|Graduate
New India Assurance|NIACL AO|National|Graduate
New India Assurance|NIACL Assistant|National|Graduate
United India Insurance Company|UIIC AO|National|Graduate
